ID,FIELD
IT\ICCU\MSM\0000165,Io ti lascio o figlia amata
IT\ICCU\MSM\0000166,Tu m'involasti un regno
IT\ICCU\MSM\0000168,Ah quel paterno sdegno
IT\ICCU\MSM\0000169,Ah la mia bella in viso
IT\ICCU\MSM\0000170,Bella pace a noi discendi
IT\ICCU\MSM\0000308,Che mai risponderti
IT\ICCU\MSM\0000325,Ah che non v'è pietà
IT\ICCU\MSM\0000330,Tutto così dunque perduto
IT\ICCU\MSM\0000331,Finchè rimango in vita
IT\ICCU\MSM\0000332,Tu di saper procura
IT\ICCU\MSM\0000220,Ah consorte ah figli addio
IT\ICCU\MSM\0000364,Caro bene io ti perdei
IT\ICCU\MSM\0000365,Stanco di più combattere
IT\ICCU\MSM\0000366,Ouverture ?
IT\ICCU\MSM\0000367,Oro è questo ma fuggi briccone
IT\ICCU\MSM\0000368,"Son io desto, o pur, o pur deliro"
IT\ICCU\MSM\0000369,Scelta
IT\ICCU\MSM\0000371,Non era ancora sorta l'aurora
IT\ICCU\MSM\0000226,Resta ingrata
IT\ICCU\MSM\0000227,Lascia cadermi in volto
IT\ICCU\MSM\0000373,"Permetti, o mio Lisetta"
IT\ICCU\MSM\0000374,"Cosa far pensi, far pensi, o figlia"
IT\ICCU\MSM\0000375,Questo squallido soggiorno
IT\ICCU\MSM\0000377,"Tu, cara serbami gl'affetti tuoi"
IT\ICCU\MSM\0000378,I sacri acciar brandite
IT\ICCU\MSM\0000383,Mi brami che pena
IT\ICCU\MSM\0000384,"Non dubitare, fedele sempre"
IT\ICCU\MSM\0000385,Entro quest'Anima
IT\ICCU\MSM\0000386,Guarda guarda la sposina
IT\ICCU\MSM\0000387,Se vedete una ragazza
IT\ICCU\MSM\0000388,Or che siam da solo a solo
IT\ICCU\MSM\0000389,Straniera abbandonata
IT\ICCU\MSM\0000390,quelle pupille tenere
IT\ICCU\MSM\0000392,"Piano, piano miei Signori"
IT\ICCU\MSM\0000396,"Voi pur foste, o care piume"
IT\ICCU\MSM\0000397,Vederlo sol bramo
IT\ICCU\MSM\0000398,Fedel sincera e docile
IT\ICCU\MSM\0000399,Non perirà
IT\ICCU\MSM\0000400,Vedrete che allegria
