RISM_ID,ID,128b,128c
850670972,IT\ICCU\MSM\0074710,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850670973,IT\ICCU\MSM\0074711,7str,"cl-picc,mand1,mand2,mla1,mla2,mla3,chit"
850670974,IT\ICCU\MSM\0074712,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850670975,IT\ICCU\MSM\0074713,5str,"cl-picc,mand1,mand2,mla,chit"
850670977,IT\ICCU\MSM\0074719,6str,"mand1,mand2,mla1,mla2,mla3,chit"
850670979,IT\ICCU\MSM\0074721,5str,"mand1,mand2,mla1,mla2,chit"
850670980,IT\ICCU\MSM\0074722,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850670985,IT\ICCU\MSM\0074727,5str,"mand1,mand2,mla1,mla2,chit"
850670996,IT\ICCU\MSM\0075068,8str,"ob1,ob2,cl1,cl2,fag1,fag2,cor1,cor2"
850671010,IT\ICCU\MSM\0075232,5str,"mand1,mand2,mla1,mla2,chit"
850671011,IT\ICCU\MSM\0075233,5str,"mand1,mand2,mla1,mla2,chit"
850671012,IT\ICCU\MSM\0075368,"1V,1str","S,pf"
850671013,IT\ICCU\MSM\0075369,"1V,Coro(4V),1str","S,Coro(S1,S2,T1,T2),pf"
850671014,IT\ICCU\MSM\0075370,"2V,Coro(2V),1str","T,B,Coro(V1,V2),pf"
850671015,IT\ICCU\MSM\0075371,"2V,Coro(3V),1str","S,T,Coro(T1,T2,B),pf"
850671016,IT\ICCU\MSM\0075372,"2V,Coro(3V),1str","S,B,Coro(S1,S2,B),pf"
850671026,IT\ICCU\MSM\0073732,"3V,1str","S,A,Br,pf"
850671027,IT\ICCU\MSM\0073733,"3V,Coro(4V),1str","S,T,B,Coro(S,A,T,B),pf"
850671050,IT\ICCU\MSM\0073898,"5V,Coro(4V),1str","S,Mzs,T,Br,B,Coro(S,A,T,B),pf"
850671068,IT\ICCU\MSM\0071910,6str,"fl,cl1,cl2,vl1,vl2,cb"
850671070,IT\ICCU\MSM\0071912,6str,"fl,cl1,cl2,vl1,vl2,cb"
850671078,IT\ICCU\MSM\0074065,"1V,1str","V,pf"
850671084,IT\ICCU\MSM\0074204,banda,"fl,cl-s,cl1,cl2,cl-a,cl-b,cl-cb,sax-s,sax-a,sax-t,sax-br,sax-b,tr1,tr2,flic1,flic2,flic-a1,flic-a2,flic-bg1,flic-bg2,cor,trb,trb1,trb2,trb3,bombno1,bombno2,bombno3,timp,tamb,gc,pt"
850671114,IT\ICCU\MSM\0074701,10str,"fl,ob,cl-picc,mand1,mand2,mla1,mla2,mla3,chit,cb"
850671115,IT\ICCU\MSM\0074702,10str,"fl,ob,cl-picc,mand1,mand2,mla1,mla2,mla3,chit,cb"
850671116,IT\ICCU\MSM\0074703,7str,"cl-picc,mand1,mand2,mla1,mla2,mla3,chit"
850671117,IT\ICCU\MSM\0074704,9str,"fl,ob,cl-picc,mand1,mand2,mla1,mla2,mla3,chit"
850671118,IT\ICCU\MSM\0074705,10str,"fl,ob,cl-picc,mand1,mand2,mla1,mla2,mla3,chit,cb"
850671119,IT\ICCU\MSM\0074714,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850671121,IT\ICCU\MSM\0074716,5str,"mand1,mand2,mla1,mla2,chit"
850671123,IT\ICCU\MSM\0074718,5str,"mand1,mand2,mla1,mla2,chit"
850671127,IT\ICCU\MSM\0074728,5str,"mand1,mand2,mla1,mla2,chit"
850671138,IT\ICCU\MSM\0075058,"1V,1str","V,pf"
850671157,IT\ICCU\MSM\0075234,5str,"mand1,mand2,mla1,mla2,chit"
850671160,IT\ICCU\MSM\0075358,"1V,1str","Br,pf"
850671161,IT\ICCU\MSM\0075359,"2V,1str","S,T,pf"
850671162,IT\ICCU\MSM\0075360,"1V,Coro(2V),1str","T,Coro(T1,T2),pf"
850671163,IT\ICCU\MSM\0075361,"1V,Coro(2V),1str","T,Coro(T,B),pf"
850671164,IT\ICCU\MSM\0075362,"2V,1str","S,T,pf"
850671222,IT\ICCU\MSM\0072045,4str,"vl1,vl2,vla,b"
850671254,IT\ICCU\MSM\0074691,1str,pf
850671264,IT\ICCU\MSM\0074706,7str,"cl-picc,mand1,mand2,mla1,mla2,mla3,chit"
850671265,IT\ICCU\MSM\0074707,8str,"fl,ob,cl-picc,mand1,mand2,mla1,mla2,chit"
850671266,IT\ICCU\MSM\0074708,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850671267,IT\ICCU\MSM\0074709,7str,"cl-picc,mand1,mand2,mla1,mla2,mla3,chit"
850671268,IT\ICCU\MSM\0074856,banda,"fl,fl-picc,ob,cl1,cl2,cl3,cl4,cl-a,cl-t,cl-s,cnta,flic1,flic2,cor,flic-t,trb-br1,tr-br2,flic-b,flic-cb,timp,gc,pt"
850671271,IT\ICCU\MSM\0074859,"4V,1str","T1,T2,B1,B2,org"
850671294,IT\ICCU\MSM\0075051,1str,pf
850671316,IT\ICCU\MSM\0075487,"2V,1str","T1,T2,org"
850671317,IT\ICCU\MSM\0075363,"1V,1str","T,pf"
850671318,IT\ICCU\MSM\0075364,"1V,1str","S,pf"
850671320,IT\ICCU\MSM\0075494,"3V,1str","T1,T2,B,org"
850671336,IT\ICCU\MSM\0075660,orch,"fl,cl1,tr,cor1,cor2,trb,vl1,vl2,vla,vlc,cb"
850671348,IT\ICCU\MSM\0071872,orch,"fl,cl,tr,vl1,vl2,vlc,cb"
850671349,IT\ICCU\MSM\0071873,"Coro(4V),1str","Coro(S,A,T,B),pf/harm"
850671414,IT\ICCU\MSM\0074686,1str,pf
850671415,IT\ICCU\MSM\0074687,1str,pf
850671482,IT\ICCU\MSM\0075636,"2V,1str","T,B,pf"
850671491,IT\ICCU\MSM\0075935,"1V,1str","S,pf"
850671533,IT\ICCU\MSM\0072198,pf,pf
850671565,IT\ICCU\MSM\0074688,1str,pf
850671566,IT\ICCU\MSM\0074689,1str,pf
850671595,IT\ICCU\MSM\0075164,orch,"fl,ob,cl1,cl2,fag,cor1,cor2,tr,trb1,trb2,trb3,trb4,timp,pt,gc,vl1,vl2,vla1,vla2,vlc1,vlc2,cb"
850671610,IT\ICCU\MSM\0075329,"2V,1str","V,V,org"
850671615,IT\ICCU\MSM\0075334,">V,1str",""
850671624,IT\ICCU\MSM\0075479,orch,"T,vl1,vl2,vla,fl,ob,cl1,cl2,cor1,cor2,vlc,cb"
850671637,IT\ICCU\MSM\0075779,banda,""
850671646,IT\ICCU\MSM\0075641,"2V,1str","S,B,pf"
850671647,IT\ICCU\MSM\0075642,"1V,1str","B,pf"
850671648,IT\ICCU\MSM\0075787,banda,""
850671657,IT\ICCU\MSM\0075796,banda,""
