RISM_ID,ID,200a_f
850626213,IT\ICCU\MSM\0028895,Averte o *Docebo| a| Soprano solo con Clarinetto obbl| in Db | [Johann Simon Mayr]
850626214,IT\ICCU\MSM\0028896,Avverte| in f| Basso solo con Ripieni| Viola e Violoncello | [Johann Simon Mayr]
850626215,IT\ICCU\MSM\0028897,Avverte| a| Basso con Violoncello | [Johann Simon Mayr]
850626216,IT\ICCU\MSM\0028898,Avverte| in f| Basso solo | [Johann Simon Mayr]
850626218,IT\ICCU\MSM\0029080,Juravit| a| Basso solo-con Clar: e Corno | [Johann Simon Mayr]
850626219,IT\ICCU\MSM\0029081,Juravit Dominus| a Basso solo| con Corno Inglese| e Fagotto | [Johann Simon Mayr]
850626220,IT\ICCU\MSM\0029082,Juravit| a due| Tenore e Basso| o Soprano con| Clarinetto e Corno obbligato | [Johann Simon Mayr]
850626221,IT\ICCU\MSM\0029083,"Iuravit Dominus| et| Dominus a dextris| Tenore solo, con ripieni| e 4 trombe | [Johann Simon Mayr]"
850626222,IT\ICCU\MSM\0029084,Juravit a Basso| od Alto| con Clarinetto obblig:| Oboe| fagotto | [Johann Simon Mayr]
850626223,IT\ICCU\MSM\0029085,Tecum principium| a Tenore solo| e| Clarinetto e Corno obblig | [Johann Simon Mayr]
850626224,IT\ICCU\MSM\0029086,Tecum principium| Soprano solo| e Tenore | [Johann Simon Mayr]
850626225,IT\ICCU\MSM\0029087,Tecum principium| a| due soprani | [Johann Simon Mayr]
850626226,IT\ICCU\MSM\0029262,Dixit| a 4° | [Johann Simon Mayr]
850626227,IT\ICCU\MSM\0029263,Dixit | [Johann Simon Mayr]
850626228,IT\ICCU\MSM\0029264,Sicut erat | [Johann Simon Mayr]
850626229,IT\ICCU\MSM\0029265,Dixit| a 4°| Con 4° Trombe | [Johann Simon Mayr]
850626250,IT\ICCU\MSM\0029651,Lamentazione Prima| Per il Venerdì Sancto| a due Voci| 1804 | [del SIg. Maestro Simon Majer]
850626253,IT\ICCU\MSM\0029667,Requiem|da|Morto | [Johann Simon Mayr]
850626344,IT\ICCU\MSM\0028877,Rodomonte pel Basso | [Johann Simon Mayr]
850626345,IT\ICCU\MSM\0028879,La Poesia | [Johann Simon Mayr]
850626346,IT\ICCU\MSM\0028889,Asperges| in g| a quattro | [Johann Simon Mayr]
850626347,IT\ICCU\MSM\0028890,Avverte Tenor solo| Con Violoncello e Corno Obbl | [Johann Simon Mayr]
850626348,IT\ICCU\MSM\0028891,Avverte| Basso solo con Corno obbl | [Johann Simon Mayr]
850626349,IT\ICCU\MSM\0028892,Avverte| in f| Alto e Tenore | [Johann Simon Mayr]
850626350,IT\ICCU\MSM\0028893,Averte a 3 Soprani con Strumenti| di fiato | [Johann Simon Mayr]
850626354,IT\ICCU\MSM\0029064,Beatus vir | [Johann Simon Mayr]
850626355,IT\ICCU\MSM\0029065,Laudate pueri | [Johann Simon Mayr]
850626356,IT\ICCU\MSM\0029066,Laudate Dominum | [Johann Simon Mayr]
850626357,IT\ICCU\MSM\0028899,Avverte| a| Basso o Soprano solo | [Johann Simon Mayr]
850626358,IT\ICCU\MSM\0028900,Avverte faciem | [Johann Simon Mayr]
850626362,IT\ICCU\MSM\0029071,Domine| Dixit| Nisi Dominus| Ave maris stella| Magnificat| a 4o voci con Violone ed Organo | [Johann Simon Mayr]
850626364,IT\ICCU\MSM\0029073,Dixit Dominus | [Johann Simon Mayr]
850626365,IT\ICCU\MSM\0029074,Nisi Dominus aedificaverit | [Johann Simon Mayr]
850626366,IT\ICCU\MSM\0029075,Ave maris stella | [Johann Simon Mayr]
850626367,IT\ICCU\MSM\0029076,Magnificat anima mea | [Johann Simon Mayr]
850626368,IT\ICCU\MSM\0029077,Iuravit| Basso solo| Con| Clarin: obbl | [Johann Simon Mayr]
850626369,IT\ICCU\MSM\0029088,Tecum principium| a| Tenore solo con Oboe obl: | [Johann Simon Mayr]
850626371,IT\ICCU\MSM\0029254,Domine ad adjuv:| a 4°| a grande orchestra | [Johann Simon Mayr]
850626372,IT\ICCU\MSM\0029255,"Domine Deus| a tre| con Flauto, Oboe e Fagotto | [Johann Simon Mayr]"
850626373,IT\ICCU\MSM\0029256,Domine| Basso solo con Corno | [Johann Simon Mayr]
850626374,IT\ICCU\MSM\0029257,Domine Deus| a| Basso solo con Fagotto | [Johann Simon Mayr]
850626375,IT\ICCU\MSM\0029258,Gratias Ten: solo| con Clarinetto obblig | [Johann Simon Mayr]
850626376,IT\ICCU\MSM\0029259,Gratias| a 4° concert: con Cori | [Johann Simon Mayr]
850626377,IT\ICCU\MSM\0029260,Sicut erat| a 4° | [Johann Simon Mayr]
850626399,IT\ICCU\MSM\0029654,Per viscera | [Johann Simon Mayr]
850626401,IT\ICCU\MSM\0029656,"Et tu puer a tre|Soprano,Alto e Tenore | [Johann Simon Mayr]"
850626402,IT\ICCU\MSM\0029657,Benedictus a 4° sul canto fermo dell'Iste confessor | [Johann Simon Mayr]
850626490,IT\ICCU\MSM\0028856,Cantata per la Morte di Capuzzi | [Johann Simon Mayr]
850626492,IT\ICCU\MSM\0028866,Alla tomba dell'amico. Con due Arie la prima con clarinetto obbligato | [Johann Simon Mayr]
850626493,IT\ICCU\MSM\0028867,La Senna| Per Soprano con Violino obbligato | [Johann Simon Mayr]
850626494,IT\ICCU\MSM\0028868,Il Poeta immaginario. Cantata seconda | [Johann Simon Mayr]
850626495,IT\ICCU\MSM\0028869,L' effetto delle ricchezze | [Johann Simon Mayr]
850626496,IT\ICCU\MSM\0028871,Leonida | [Johann Simon Mayr]
850626497,IT\ICCU\MSM\0028873,La Solitudine | [Johann Simon Mayr]
850626498,IT\ICCU\MSM\0028880,Annibale a Cartago | [Johann Simon Mayr]
850626499,IT\ICCU\MSM\0028881,La vita campestre per Tenore | [Johann Simon Mayr]
850626500,IT\ICCU\MSM\0028882,La Fantasia | [Johann Simon Mayr]
850626501,IT\ICCU\MSM\0028883,Lodoviska | [Johann Simon Mayr]
850626503,IT\ICCU\MSM\0029052,Domine ad adjuvandum | [Johann Simon Mayr]
850626504,IT\ICCU\MSM\0029053,Dixit | di G. S. Mayr
850626505,IT\ICCU\MSM\0029054,Virgam Virtutis| Tenore solo | [Johann Simon Mayr]
850626506,IT\ICCU\MSM\0029055,Tecum principium| Soprano solo| con Violoncello e Flauti obbligati| o Fagotto in g | [Johann Simon Mayr]
850626507,IT\ICCU\MSM\0029056,Virgam virtutis [o] Tecum principium| a| Tenore solo| con Violoncello obbligato | [Johann Simon Mayr]
850626509,IT\ICCU\MSM\0029068,Domine e Magnificat in Do| a 3 voci| Con Soli Strumenti da fiato| ed organo Obbligato | [Johann Simon Mayr]
850626511,IT\ICCU\MSM\0029070,Magnificat | [Johann Simon Mayr]
850626512,IT\ICCU\MSM\0029236,Gloria in excelsis | [Johann Simon Mayr]
850626513,IT\ICCU\MSM\0029237,II Messa a tre | per la Settimana santa | in fa ed in sol | [Johann Simon Mayr]
850626517,IT\ICCU\MSM\0029078,Juravit| Alto solo con Viola | [Johann Simon Mayr]
850626518,IT\ICCU\MSM\0029079,Juravit| Basso solo | [Johann Simon Mayr]
850626519,IT\ICCU\MSM\0029246,Introito| generale | [Johann Simon Mayr]
850626520,IT\ICCU\MSM\0029247,Introito| per| S. Cecilia | [Johann Simon Mayr]
850626521,IT\ICCU\MSM\0029248,Introito| a 4°| per le SS. Reliquie | [Johann Simon Mayr]
850626522,IT\ICCU\MSM\0029249,Introito| per la festa delle SS. Reliquie e| Corpus Domini | [Johann Simon Mayr]
850626523,IT\ICCU\MSM\0029250,Domine ad adjuv:| a| Tenore solo e Clarinetto obbl | [Johann Simon Mayr]
850626524,IT\ICCU\MSM\0029251,Domine| a| quattro| in g| con Corni| e| Trombone | [Johann Simon Mayr]
850626558,IT\ICCU\MSM\0029648,Lamentazione|prima|pel Venerdì Santo | [Johann Simon Mayr]
850626568,IT\ICCU\MSM\0029983,Passio| a quattro voci| pel Mercoledì santo| quando vi cade la efsta della Madonna | [Johann Simon Mayr]
850626569,IT\ICCU\MSM\0029984,"Parte di Cristo| Nella Passione del Venerdì santo| con flauto, oboe 2. Corni 2.| Fagotto,Viole, Violoncello | [Johann Simon Mayr]"
850626648,IT\ICCU\MSM\0028857,La tempesta.Cantata pel tenore con Spagniuolo | [Johann Simon Mayr]
850626649,IT\ICCU\MSM\0028858,Cantata buffa per il Basso| la fantasia riscaldata | [Johann Simon Mayr]
850626650,IT\ICCU\MSM\0028859,La moglie di Asdrubale| Cantata 3za| pel Seminario| pel Soprano| 1816 | [Johann Simon Mayr]
850626651,IT\ICCU\MSM\0028860,Agamennone| Cantata 2da| 1813 | [Johann Simon Mayr]
850626652,IT\ICCU\MSM\0028861,Contro l'inventore dell'oro | [Johann Simon Mayr]
850626653,IT\ICCU\MSM\0028862,L'amico tradito | [Johann Simon Mayr]
850626655,IT\ICCU\MSM\0028864,Il Secol d'oro | [Johann Simon Mayr]
850626656,IT\ICCU\MSM\0028865,Il Poeta scoraggiato | [Johann Simon Mayr]
850626658,IT\ICCU\MSM\0028875,Lo spavento| Cantata| 2da| pel Liceo| 1816 | [Johann Simon Mayr]
850626659,IT\ICCU\MSM\0029042,Dixit| a| Tenore Solo con Ripieni| obbligato | [Johann Simon Mayr]
850626660,IT\ICCU\MSM\0029043,Sicut erat | [Johann Simon Mayr]
850626661,IT\ICCU\MSM\0029044,Dixit| detto de' sorbetti | [Johann Simon Mayr]
850626662,IT\ICCU\MSM\0029046,O della mula | del Maestro G. Forini
850626663,IT\ICCU\MSM\0029047,Le inconvenienze teatrali. Sì allegri prepariamoci | [Johann Simon Mayr]
850626664,IT\ICCU\MSM\0029048,Domine| e| Dixit a 4o| pastorale | [Johann Simon Mayr]
850626665,IT\ICCU\MSM\0029049,Domine ad adjuvandum | [Johann Simon Mayr]
850626666,IT\ICCU\MSM\0029050,Dixit a 4 | [Johann Simon Mayr]
850626668,IT\ICCU\MSM\0029057,Domine e Dixit| brevi a 4o | [Johann Simon Mayr]
850626675,IT\ICCU\MSM\0029229,Numa per la nascita del Re di Roma | [Johann Simon Mayr]
850626679,IT\ICCU\MSM\0029241,Qui tollis a | Soprano solo con | flauto e Fagotto obbligato | [Johann Simon Mayr]
850626680,IT\ICCU\MSM\0029242,Gloria| in| Re mag | [Johann Simon Mayr]
